"NetworkFile","giant_component"
"M_PL_001.csv",177
"M_PL_002.csv",103
"M_PL_003.csv",61
"M_PL_004.csv",112
"M_PL_005.csv",361
"M_PL_006.csv",78
"M_PL_007.csv",50
"M_PL_008.csv",49
"M_PL_009.csv",142
"M_PL_010.csv",107
"M_PL_011.csv",27
"M_PL_012.csv",84
"M_PL_013.csv",65
"M_PL_014.csv",108
"M_PL_015.csv",793
"M_PL_016.csv",205
"M_PL_017.csv",104
"M_PL_018.csv",144
"M_PL_019.csv",123
"M_PL_020.csv",109
"M_PL_021.csv",766
"M_PL_022.csv",66
"M_PL_023.csv",90
"M_PL_024.csv",22
"M_PL_025.csv",57
"M_PL_026.csv",150
"M_PL_027.csv",75
"M_PL_028.csv",180
"M_PL_029.csv",167
"M_PL_030.csv",70
"M_PL_031.csv",91
"M_PL_032.csv",40
"M_PL_033.csv",47
"M_PL_034.csv",151
"M_PL_035.csv",97
"M_PL_036.csv",22
"M_PL_037.csv",50
"M_PL_038.csv",50
"M_PL_039.csv",68
"M_PL_040.csv",70
"M_PL_041.csv",70
"M_PL_042.csv",16
"M_PL_043.csv",110
"M_PL_044.csv",712
"M_PL_045.csv",41
"M_PL_046.csv",60
"M_PL_047.csv",205
"M_PL_048.csv",266
"M_PL_049.csv",262
"M_PL_050.csv",49
"M_PL_051.csv",104
"M_PL_052.csv",52
"M_PL_053.csv",364
"M_PL_054.csv",414
"M_PL_055.csv",253
"M_PL_056.csv",456
"M_PL_057.csv",997
"M_PL_058.csv",111
"M_PL_059.csv",26
"M_SD_001.csv",28
"M_SD_002.csv",40
"M_SD_003.csv",41
"M_SD_004.csv",52
"M_SD_005.csv",34
"M_SD_006.csv",34
"M_SD_007.csv",79
"M_SD_008.csv",26
"M_SD_009.csv",25
"M_SD_010.csv",64
"M_SD_011.csv",25
"M_SD_012.csv",64
"M_SD_013.csv",55
"M_SD_014.csv",33
"M_SD_015.csv",32
"M_SD_016.csv",85
"M_SD_017.csv",24
"M_SD_018.csv",53
"M_SD_019.csv",209
"M_SD_020.csv",58
"M_SD_021.csv",46
"M_SD_022.csv",317
"M_SD_023.csv",23
"M_SD_024.csv",19
"M_SD_025.csv",13
"M_SD_026.csv",6
"M_SD_027.csv",16
"M_SD_028.csv",13
"M_SD_029.csv",9
"M_SD_030.csv",9
