"";"Network";"NoOrder";"MR";"Krisk";"Kdegree";"Degree";"eigenc"
"1";"SD_001";0,567019400352734;0,448853615520282;0,376543209876543;0,387125220458554;0,371252204585538;0,385361552028219
"2";"SD_002";0,606837606837607;0,49047619047619;0,49047619047619;0,49047619047619;0,49047619047619;0,49047619047619
"3";"SD_003";0,59375;0,333333333333333;0,321180555555556;0,282894736842105;0,304276315789474;0,282894736842105
"4";"SD_004";0,562254901960784;0,251041666666667;0,228645833333333;0,230208333333333;0,229166666666667;0,244791666666667
"5";"SD_005";0,525932400932401;0,364615384615385;0,256923076923077;0,266153846153846;0,278461538461539;0,256923076923077
"6";"SD_006";0,556670649143767;0,344444444444444;0,306172839506173;0,304938271604938;0,306172839506173;0,302469135802469
"7";"SD_007";0,546003016591252;0,243271221532091;0,243271221532091;0,243271221532091;0,243271221532091;0,243271221532091
"8";"SD_008";0,678;0,606;0,606;0,622;0,622;0,626
"9";"SD_009";0,550925925925926;0,393518518518518;0,326388888888889;0,340277777777778;0,328703703703704;0,300925925925926
"10";"SD_010";0,692743764172336;0,488095238095238;0,492630385487528;0,51530612244898;0,503968253968254;0,518707482993197
"11";"SD_011";0,575892857142857;0,47360248447205;0,46583850931677;0,44047619047619;0,43847049689441;0,44047619047619
"12";"SD_012";0,572249589490969;0,360344827586207;0,328448275862069;0,357471264367816;0,34367816091954;0,360919540229885
"13";"SD_013";0,663797859428445;0,477159880834161;0,518518518518518;0,605263157894737;0,549220272904483;0,589668615984405
"14";"SD_014";0,655330882352941;0,498161764705882;0,514705882352941;0,507352941176471;0,509191176470588;0,507352941176471
"15";"SD_015";0,553763440860215;0,525089605734767;0,539426523297491;0,529271206690562;0,540023894862604;0,529868578255675
"16";"SD_016";0,617486338797814;0,494925839188134;0,483411397345824;0,484777517564403;0,483021077283372;0,485167837626854
"17";"SD_017";0,64945652173913;0,584239130434782;0,573369565217391;0,584239130434783;0,573369565217391;0,584239130434783
"18";"SD_018";0,483571673861852;0,41123670212766;0,216090425531915;0,167885638297872;0,18218085106383;0,223071808510638
"19";"SD_019";0,662991084114805;0,352784974093264;0,372862694300518;0,386075129533679;0,380569948186529;0,405764248704663
"20";"SD_020";0,589314194577352;0,413498622589532;0,416804407713499;0,424517906336088;0,418732782369146;0,422865013774105
"21";"SD_021";0,607936507936508;0,459415584415584;0,460867604617605;0,461850649350649;0,463068181818182;0,462662337662338
"22";"SD_022";0,630433676731145;0,368123355743935;0,352403011001737;0,350752750434279;0,351708164447018;0,381383902721482
"23";"SD_023";0,529236694677871;0,386029411764706;0,393382352941176;0,386029411764706;0,386029411764706;0,386029411764706
"24";"SD_024";0,565359477124183;0,491596638655462;0,508403361344538;0,507936507936508;0,484126984126984;0,507936507936508
"25";"SD_025";0,537878787878788;0,462121212121212;0,46969696969697;0,462121212121212;0,462121212121212;0,462121212121212
"26";"SD_026";0,433333333333333;0,416666666666667;0,416666666666667;0,416666666666667;0,416666666666667;0,416666666666667
"27";"SD_027";0,490384615384615;0,471153846153846;0,471153846153846;0,471153846153846;0,471153846153846;0,471153846153846
"28";"SD_028";0,55;0,445454545454545;0,445454545454545;0,445454545454545;0,445454545454545;0,445454545454545
"29";"SD_029";0,5;0,466666666666667;0,466666666666667;0,466666666666667;0,466666666666667;0,466666666666667
"30";"SD_030";0,5;0,458333333333333;0,458333333333333;0,458333333333333;0,458333333333333;0,458333333333333
